TRUE BELIEVER;THE DA VINCI CODE;THE WORLD IS FLAT;MY LIFE SO FAR;THE TAKING;THE KITE RUNNER;RUNNY BABBIT;HARRY POTTER;
U1;2;4;0;3;0;0;1;1
U2;0;5;0;0;3;2;1;0
U3;3;0;1;2;2;0;0;5
U4;0;3;0;0;4;1;0;3
U5;2;4;3;0;0;2;1;0
U6;5;4;0;3;1;0;3;1
U7;1;4;5;5;3;0;0;4
U8;2;2;0;0;4;5;1;0
U9;0;0;4;2;1;0;0;5
U10;3;5;1;0;0;0;4;4
U11;2;0;2;4;0;1;0;2
U12;5;4;0;2;0;1;1;3
U13;0;0;2;0;4;0;4;5
U14;0;1;2;3;4;0;5;5
U15;0;3;0;0;5;3;0;2
U16;0;3;2;1;1;0;4;0
U17;1;5;1;2;0;4;0;4
U18;5;0;4;0;2;1;3;5
U19;0;3;0;2;0;4;1;4
U20;2;5;1;1;5;4;0;4
NU1;4;0;5;3;2;3;0;4
NU2;0;5;2;5;3;0;2;0
NU3;2;1;0;0;2;3;4;1
NU4;3;5;1;1;0;1;0;3
NU5;0;2;3;2;1;0;3;0
